antecedent,consequent,support,confidence,lift,count
"DO=Upper West Side South, PU_bor=Manhattan",DO_bor=Manhattan,0.0251,1.0,1.13,9977
"DO=Upper East Side South, rush=yes",DO_bor=Manhattan,0.0137,1.0,1.13,5474
"DO=Upper East Side South, PU_bor=Manhattan",DO_bor=Manhattan,0.0367,1.0,1.13,14598
"DO=Upper West Side South, rush=yes",DO_bor=Manhattan,0.0084,1.0,1.13,3337
"DO=Gramercy, PU_bor=Manhattan",DO_bor=Manhattan,0.0198,1.0,1.13,7881
"DO=Midtown Center, PU_bor=Manhattan",DO_bor=Manhattan,0.0356,1.0,1.13,14178
"DO=Clinton West, PU_bor=Manhattan",DO_bor=Manhattan,0.0107,1.0,1.13,4259
"DO=Murray Hill, PU_bor=Manhattan",DO_bor=Manhattan,0.0278,1.0,1.13,11081
"DO=Murray Hill, weekend=yes",DO_bor=Manhattan,0.0084,1.0,1.13,3361
"DO_bor=Manhattan, PU=Yorkville West",rush=yes,0.0065,0.33,1.13,2608
"DO=Yorkville West, PU_bor=Manhattan",DO_bor=Manhattan,0.0206,1.0,1.13,8196
"DO=Lincoln Square East, rush=yes",DO_bor=Manhattan,0.0095,1.0,1.13,3789
"DO=Upper West Side North, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.007,1.0,1.13,2784
"DO=Midtown East, weekend=yes",DO_bor=Manhattan,0.0053,1.0,1.13,2117
"DO=Upper East Side South, PU=Upper East Side North, PU_bor=Manhattan",DO_bor=Manhattan,0.0053,1.0,1.13,2110
"DO=Lenox Hill East, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0074,1.0,1.13,2955
DO=Yorkville East,DO_bor=Manhattan,0.015,1.0,1.13,5977
"DO=Clinton East, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0062,1.0,1.13,2487
DO=Upper West Side North,DO_bor=Manhattan,0.0223,1.0,1.13,8888
"DO=Lincoln Square East, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0093,1.0,1.13,3701
DO=Central Park,DO_bor=Manhattan,0.0102,1.0,1.13,4049
DO=Yorkville West,DO_bor=Manhattan,0.0216,1.0,1.13,8620
DO=Murray Hill,DO_bor=Manhattan,0.0297,1.0,1.13,11840
DO=Clinton West,DO_bor=Manhattan,0.0112,1.0,1.13,4447
"DO_bor=Manhattan, PU=Yorkville West, PU_bor=Manhattan",rush=yes,0.0065,0.33,1.13,2608
DO=Kips Bay,DO_bor=Manhattan,0.0166,1.0,1.13,6629
DO=Gramercy,DO_bor=Manhattan,0.0211,1.0,1.13,8408
"DO=Upper East Side South, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0134,1.0,1.13,5340
DO=Upper West Side South,DO_bor=Manhattan,0.0259,1.0,1.13,10296
DO=UN/Turtle Bay South,DO_bor=Manhattan,0.0161,1.0,1.13,6430
DO=Garment District,DO_bor=Manhattan,0.0125,1.0,1.13,4996
DO=Flatiron,DO_bor=Manhattan,0.0157,1.0,1.13,6243
"DO=Midtown South, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0051,1.0,1.13,2017
DO=West Village,DO_bor=Manhattan,0.0174,1.0,1.13,6948
"DO=Upper East Side North, PU=Upper East Side South, PU_bor=Manhattan",DO_bor=Manhattan,0.006,1.0,1.13,2391
DO=Penn Station/Madison Sq West,DO_bor=Manhattan,0.0209,1.0,1.13,8303
"DO=Upper East Side South, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0076,1.0,1.13,3030
"DO=Clinton East, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0086,1.0,1.13,3428
DO=Lenox Hill East,DO_bor=Manhattan,0.0229,1.0,1.13,9109
DO=East Harlem South,DO_bor=Manhattan,0.0137,1.0,1.13,5468
"DO=Times Sq/Theatre District, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0067,1.0,1.13,2652
DO=Midtown South,DO_bor=Manhattan,0.0199,1.0,1.13,7926
"DO=Midtown Center, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0055,1.0,1.13,2203
DO=Lincoln Square East,DO_bor=Manhattan,0.0272,1.0,1.13,10848
"DO=Union Sq, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0058,1.0,1.13,2300
DO=Little Italy/NoLiTa,DO_bor=Manhattan,0.0089,1.0,1.13,3563
"DO=Upper East Side North, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0145,1.0,1.13,5781
"DO=Flatiron, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0059,1.0,1.13,2353
DO=East Chelsea,DO_bor=Manhattan,0.0265,1.0,1.13,10544
"DO=Sutton Place/Turtle Bay North, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0057,1.0,1.13,2273
DO=TriBeCa/Civic Center,DO_bor=Manhattan,0.0152,1.0,1.13,6067
DO=Clinton East,DO_bor=Manhattan,0.0257,1.0,1.13,10251
"DO_bor=Manhattan, PU=Midtown North, PU_bor=Manhattan",rush=yes,0.0077,0.332,1.13,3060
DO=Lower East Side,DO_bor=Manhattan,0.0107,1.0,1.13,4274
"DO=Gramercy, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.005,1.0,1.13,2009
"DO=Murray Hill, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0079,1.0,1.13,3149
"DO=Midtown South, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0056,1.0,1.13,2210
DO=Midtown East,DO_bor=Manhattan,0.0288,1.0,1.13,11463
"DO=Penn Station/Madison Sq West, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.006,1.0,1.13,2389
"DO=Yorkville West, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.006,1.0,1.13,2408
"DO=Union Sq, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0074,1.0,1.13,2930
DO=Greenwich Village North,DO_bor=Manhattan,0.0122,1.0,1.13,4854
DO=Greenwich Village South,DO_bor=Manhattan,0.0096,1.0,1.13,3842
DO=East Chelsea,weekend=yes,0.0087,0.327,1.13,3450
DO=West Chelsea/Hudson Yards,DO_bor=Manhattan,0.02,1.0,1.13,7964
"DO=East Chelsea, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.007,1.0,1.13,2796
DO=Upper East Side South,DO_bor=Manhattan,0.0376,1.0,1.13,14982
"DO=Lenox Hill West, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0078,1.0,1.13,3097
DO=Midtown Center,DO_bor=Manhattan,0.0378,1.0,1.13,15034
"DO=Upper West Side South, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0082,1.0,1.13,3263
DO=Sutton Place/Turtle Bay North,DO_bor=Manhattan,0.0204,1.0,1.13,8121
"DO=West Chelsea/Hudson Yards, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0069,1.0,1.13,2746
DO=Upper East Side North,DO_bor=Manhattan,0.041,1.0,1.13,16315
"DO=Midtown North, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0078,1.0,1.13,3115
"DO=Midtown Center, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0142,1.0,1.13,5665
DO=East Village,DO_bor=Manhattan,0.0229,1.0,1.13,9100
"DO=Midtown East, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0102,1.0,1.13,4068
DO=Lenox Hill West,DO_bor=Manhattan,0.0268,1.0,1.13,10686
"DO=Times Sq/Theatre District, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0086,1.0,1.13,3419
DO=Union Sq,DO_bor=Manhattan,0.0222,1.0,1.13,8839
"DO=Sutton Place/Turtle Bay North, rush=yes",DO_bor=Manhattan,0.006,1.0,1.13,2393
PU=Murray Hill,rush=yes,0.0087,0.332,1.13,3461
"DO=Upper West Side North, rush=yes",DO_bor=Manhattan,0.0072,1.0,1.13,2855
DO=Manhattan Valley,DO_bor=Manhattan,0.0085,1.0,1.13,3382
"DO=Murray Hill, rush=yes",DO_bor=Manhattan,0.0085,1.0,1.13,3390
"DO=Gramercy, rush=yes",DO_bor=Manhattan,0.0054,1.0,1.13,2166
"DO=Upper West Side North, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0057,1.0,1.13,2275
"DO=West Chelsea/Hudson Yards, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0065,1.0,1.13,2580
"DO=Clinton East, PU_bor=Manhattan",DO_bor=Manhattan,0.024,1.0,1.13,9547
"DO_bor=Manhattan, PU=Midtown North",rush=yes,0.0077,0.332,1.13,3060
"DO=Gramercy, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0072,1.0,1.13,2870
"DO=Lincoln Square East, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0077,1.0,1.13,3047
"DO=TriBeCa/Civic Center, PU_bor=Manhattan",DO_bor=Manhattan,0.0145,1.0,1.13,5778
"DO=Flatiron, PU_bor=Manhattan",DO_bor=Manhattan,0.0147,1.0,1.13,5865
"DO=Upper West Side South, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0074,1.0,1.13,2952
DO=Lincoln Square West,DO_bor=Manhattan,0.0149,1.0,1.13,5948
"DO=Murray Hill, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.008,1.0,1.13,3198
"DO=East Village, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0103,1.0,1.13,4121
"DO=Lenox Hill West, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0073,1.0,1.13,2901
"DO=Sutton Place/Turtle Bay North, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0056,1.0,1.13,2234
DO=Midtown North,DO_bor=Manhattan,0.0236,1.0,1.13,9385
"DO=Upper East Side North, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0086,1.0,1.13,3426
"DO=Penn Station/Madison Sq West, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.006,1.0,1.13,2389
"DO=Midtown East, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.005,1.0,1.13,1992
"DO=West Village, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0074,1.0,1.13,2934
"DO=Midtown South, rush=yes",DO_bor=Manhattan,0.0062,1.0,1.13,2461
"DO=Lower East Side, PU_bor=Manhattan",DO_bor=Manhattan,0.01,1.0,1.13,3964
"DO=East Chelsea, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0083,1.0,1.13,3291
DO=Times Sq/Theatre District,DO_bor=Manhattan,0.0295,1.0,1.13,11730
"DO=Penn Station/Madison Sq West, rush=yes",DO_bor=Manhattan,0.0063,1.0,1.13,2505
"DO=Yorkville West, rush=yes",DO_bor=Manhattan,0.0064,1.0,1.13,2530
"DO=Yorkville West, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0065,1.0,1.13,2604
PU=Sutton Place/Turtle Bay North,rush=yes,0.006,0.329,1.12,2394
"DO_bor=Manhattan, PU=Gramercy",weekend=yes,0.0066,0.325,1.12,2628
"DO=Upper West Side South, PU_bor=Manhattan",rush=yes,0.0082,0.327,1.12,3263
"PU=Sutton Place/Turtle Bay North, PU_bor=Manhattan",rush=yes,0.006,0.329,1.12,2394
"DO_bor=Manhattan, PU=Gramercy, PU_bor=Manhattan",weekend=yes,0.0066,0.325,1.12,2628
"DO=Upper West Side South, DO_bor=Manhattan, PU_bor=Manhattan",rush=yes,0.0082,0.327,1.12,3263
"PU=Gramercy, PU_bor=Manhattan",weekend=yes,0.0071,0.325,1.12,2824
PU=Gramercy,weekend=yes,0.0071,0.325,1.12,2824
"DO_bor=Manhattan, PU=Sutton Place/Turtle Bay North",PU_bor=Manhattan,0.0169,1.0,1.11,6742
"PU=Upper West Side South, rush=yes",DO_bor=Manhattan,0.0098,0.98,1.11,3903
"PU=Yorkville West, weekend=yes",PU_bor=Manhattan,0.0059,1.0,1.11,2358
"PU=Upper West Side South, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0098,0.98,1.11,3903
"DO_bor=Manhattan, PU=Upper West Side South, weekend=yes",PU_bor=Manhattan,0.0072,1.0,1.11,2865
"DO_bor=Manhattan, PU=Union Sq, rush=yes",PU_bor=Manhattan,0.0063,1.0,1.11,2501
"DO_bor=Manhattan, PU=Penn Station/Madison Sq West",PU_bor=Manhattan,0.0357,1.0,1.11,14230
"DO_bor=Manhattan, PU=Upper West Side South, rush=yes",PU_bor=Manhattan,0.0098,1.0,1.11,3903
"PU=Midtown South, weekend=yes",PU_bor=Manhattan,0.0062,1.0,1.11,2455
"DO_bor=Manhattan, PU=Greenwich Village South, weekend=yes",PU_bor=Manhattan,0.0103,1.0,1.11,4087
"DO_bor=Manhattan, PU=Yorkville East, rush=yes",PU_bor=Manhattan,0.0059,1.0,1.11,2365
"DO_bor=Manhattan, PU=Manhattan Valley",PU_bor=Manhattan,0.0077,1.0,1.11,3057
"DO_bor=Manhattan, PU=West Village, weekend=yes",PU_bor=Manhattan,0.013,1.0,1.11,5179
"PU=Upper East Side South, rush=yes",PU_bor=Manhattan,0.015,1.0,1.11,5990
"DO_bor=Manhattan, PU=Midtown East, rush=yes",PU_bor=Manhattan,0.0118,1.0,1.11,4690
"DO_bor=Manhattan, PU=Garment District",PU_bor=Manhattan,0.0177,1.0,1.11,7067
"DO_bor=Manhattan, PU=LaGuardia Airport",rush=yes,0.0058,0.325,1.11,2313
"DO_bor=Manhattan, PU=Midtown South, rush=yes",PU_bor=Manhattan,0.0055,1.0,1.11,2174
"PU=West Chelsea/Hudson Yards, weekend=yes",PU_bor=Manhattan,0.007,1.0,1.11,2773
"DO_bor=Manhattan, PU=Midtown Center, rush=yes",PU_bor=Manhattan,0.0134,1.0,1.11,5337
"DO_bor=Manhattan, PU=Times Sq/Theatre District, rush=yes",PU_bor=Manhattan,0.0087,1.0,1.11,3456
"DO_bor=Manhattan, PU=Lenox Hill East, rush=yes",PU_bor=Manhattan,0.0078,1.0,1.11,3094
"PU=Greenwich Village North, weekend=yes",PU_bor=Manhattan,0.0051,1.0,1.11,2016
"DO_bor=Manhattan, PU=Kips Bay",PU_bor=Manhattan,0.0103,1.0,1.11,4095
"DO_bor=Manhattan, PU=Midtown North, rush=yes",PU_bor=Manhattan,0.0077,1.0,1.11,3060
PU=Greenwich Village South,PU_bor=Manhattan,0.0191,1.0,1.11,7615
"DO_bor=Manhattan, PU=Lenox Hill West",PU_bor=Manhattan,0.0227,1.0,1.11,9029
"PU=Yorkville East, rush=yes",PU_bor=Manhattan,0.0062,1.0,1.11,2453
"PU=Midtown East, rush=yes",PU_bor=Manhattan,0.0124,1.0,1.11,4918
"PU=Midtown North, rush=yes",PU_bor=Manhattan,0.0081,1.0,1.11,3239
"DO_bor=Manhattan, PU=Little Italy/NoLiTa",PU_bor=Manhattan,0.0108,1.0,1.11,4315
"PU=Midtown Center, weekend=yes",PU_bor=Manhattan,0.007,1.0,1.11,2784
"PU=Lenox Hill East, rush=yes",PU_bor=Manhattan,0.0081,1.0,1.11,3221
"DO_bor=Manhattan, PU=Gramercy, rush=yes",PU_bor=Manhattan,0.0056,1.0,1.11,2225
"PU=Times Sq/Theatre District, rush=yes",PU_bor=Manhattan,0.0096,1.0,1.11,3806
"DO_bor=Manhattan, PU=LaGuardia Airport, PU_bor=Queens",rush=yes,0.0058,0.325,1.11,2313
"DO_bor=Manhattan, PU=Upper West Side North",PU_bor=Manhattan,0.0191,1.0,1.11,7600
"PU=Midtown South, rush=yes",PU_bor=Manhattan,0.0058,1.0,1.11,2309
"DO_bor=Manhattan, PU=Midtown Center",PU_bor=Manhattan,0.0369,1.0,1.11,14689
"PU=Garment District, rush=yes",PU_bor=Manhattan,0.0051,1.0,1.11,2031
"DO_bor=Manhattan, PU=East Chelsea, rush=yes",PU_bor=Manhattan,0.0065,1.0,1.11,2595
"DO_bor=Manhattan, PU=Penn Station/Madison Sq West, rush=yes",PU_bor=Manhattan,0.0108,1.0,1.11,4295
"DO_bor=Manhattan, PU=Clinton East, weekend=yes",PU_bor=Manhattan,0.0096,1.0,1.11,3821
"DO_bor=Manhattan, PU=Lenox Hill West, rush=yes",PU_bor=Manhattan,0.008,1.0,1.11,3180
"PU=Yorkville West, rush=yes",PU_bor=Manhattan,0.0068,1.0,1.11,2695
"PU=Penn Station/Madison Sq West, rush=yes",PU_bor=Manhattan,0.0112,1.0,1.11,4472
"PU=Gramercy, rush=yes",PU_bor=Manhattan,0.0058,1.0,1.11,2313
"DO=Upper East Side South, DO_bor=Manhattan, PU=Upper East Side North",PU_bor=Manhattan,0.0053,1.0,1.11,2110
"DO_bor=Manhattan, PU=Upper East Side North, weekend=yes",PU_bor=Manhattan,0.0075,1.0,1.11,3003
"PU=Upper East Side North, rush=yes",PU_bor=Manhattan,0.0166,1.0,1.11,6626
"DO_bor=Manhattan, PU=Lenox Hill West, weekend=yes",PU_bor=Manhattan,0.0059,1.0,1.11,2367
"DO_bor=Manhattan, PU=Midtown South, weekend=yes",PU_bor=Manhattan,0.0055,1.0,1.11,2206
"DO_bor=Manhattan, PU=Flatiron, weekend=yes",PU_bor=Manhattan,0.0052,1.0,1.11,2060
"DO=Upper East Side North, DO_bor=Manhattan, PU=Upper East Side South",PU_bor=Manhattan,0.006,1.0,1.11,2391
"DO_bor=Manhattan, PU=Lower East Side, weekend=yes",PU_bor=Manhattan,0.0108,1.0,1.11,4302
"PU=Murray Hill, rush=yes",PU_bor=Manhattan,0.0087,1.0,1.11,3461
"DO_bor=Manhattan, PU=Gramercy, weekend=yes",PU_bor=Manhattan,0.0066,1.0,1.11,2628
"PU=Clinton East, rush=yes",PU_bor=Manhattan,0.0069,1.0,1.11,2758
"PU=Upper West Side North, rush=yes",PU_bor=Manhattan,0.0079,1.0,1.11,3131
"DO_bor=Manhattan, PU=Penn Station/Madison Sq West, weekend=yes",PU_bor=Manhattan,0.0077,1.0,1.11,3053
"DO_bor=Manhattan, PU=Midtown East, weekend=yes",PU_bor=Manhattan,0.0056,1.0,1.11,2236
"DO_bor=Manhattan, PU=Yorkville West, weekend=yes",PU_bor=Manhattan,0.0056,1.0,1.11,2236
"PU=Lincoln Square East, rush=yes",PU_bor=Manhattan,0.0103,1.0,1.11,4100
"DO_bor=Manhattan, PU=Midtown Center, weekend=yes",PU_bor=Manhattan,0.0062,1.0,1.11,2481
"DO_bor=Manhattan, PU=Little Italy/NoLiTa, weekend=yes",PU_bor=Manhattan,0.0061,1.0,1.11,2445
"DO_bor=Manhattan, PU=Murray Hill, weekend=yes",PU_bor=Manhattan,0.0051,1.0,1.11,2046
"DO_bor=Manhattan, PU=West Chelsea/Hudson Yards, weekend=yes",PU_bor=Manhattan,0.0066,1.0,1.11,2619
"DO_bor=Manhattan, PU=Lincoln Square East, weekend=yes",PU_bor=Manhattan,0.0081,1.0,1.11,3217
"PU=East Chelsea, rush=yes",PU_bor=Manhattan,0.0068,1.0,1.11,2718
"DO_bor=Manhattan, PU=Yorkville West, rush=yes",PU_bor=Manhattan,0.0065,1.0,1.11,2608
"DO=Upper West Side South, DO_bor=Manhattan",rush=yes,0.0084,0.324,1.11,3337
"DO_bor=Manhattan, PU=UN/Turtle Bay South",PU_bor=Manhattan,0.0096,1.0,1.11,3810
"DO_bor=Manhattan, PU=East Village, weekend=yes",PU_bor=Manhattan,0.0169,1.0,1.11,6728
"DO_bor=Manhattan, PU=Central Park",PU_bor=Manhattan,0.0126,1.0,1.11,5022
"PU=Upper West Side South, rush=yes",PU_bor=Manhattan,0.01,1.0,1.11,3983
"PU=Union Sq, rush=yes",PU_bor=Manhattan,0.0065,1.0,1.11,2593
"DO_bor=Manhattan, PU=Clinton East, rush=yes",PU_bor=Manhattan,0.0066,1.0,1.11,2634
"DO=Upper East Side North, PU=Upper East Side South",PU_bor=Manhattan,0.006,1.0,1.11,2391
"DO_bor=Manhattan, PU=Upper East Side North",PU_bor=Manhattan,0.0389,1.0,1.11,15495
"PU=Upper East Side North, weekend=yes",PU_bor=Manhattan,0.0078,1.0,1.11,3113
"DO_bor=Manhattan, PU=Upper East Side South, rush=yes",PU_bor=Manhattan,0.0147,1.0,1.11,5836
"DO_bor=Manhattan, PU=Lincoln Square West",PU_bor=Manhattan,0.0106,1.0,1.11,4235
"DO_bor=Manhattan, PU=Lincoln Square East, rush=yes",PU_bor=Manhattan,0.01,1.0,1.11,3984
"PU=Midtown Center, rush=yes",PU_bor=Manhattan,0.0142,1.0,1.11,5641
"DO_bor=Manhattan, PU=Upper West Side North, rush=yes",PU_bor=Manhattan,0.0077,1.0,1.11,3059
"DO_bor=Manhattan, PU=Times Sq/Theatre District, weekend=yes",PU_bor=Manhattan,0.0084,1.0,1.11,3350
"DO_bor=Manhattan, PU=Union Sq, weekend=yes",PU_bor=Manhattan,0.0064,1.0,1.11,2547
"DO=Upper East Side South, PU=Upper East Side North",PU_bor=Manhattan,0.0053,1.0,1.11,2110
"DO_bor=Manhattan, PU=Murray Hill, rush=yes",PU_bor=Manhattan,0.0083,1.0,1.11,3306
"DO_bor=Manhattan, PU=East Chelsea, weekend=yes",PU_bor=Manhattan,0.0073,1.0,1.11,2925
"DO_bor=Manhattan, PU=Midtown North, weekend=yes",PU_bor=Manhattan,0.0056,1.0,1.11,2222
"PU=Lenox Hill West, rush=yes",PU_bor=Manhattan,0.0083,1.0,1.11,3299
"DO_bor=Manhattan, PU=Upper East Side South, weekend=yes",PU_bor=Manhattan,0.0075,1.0,1.11,3003
"DO_bor=Manhattan, PU=Upper East Side North, rush=yes",PU_bor=Manhattan,0.0163,1.0,1.11,6481
"DO_bor=Manhattan, PU=Sutton Place/Turtle Bay North, rush=yes",PU_bor=Manhattan,0.0058,1.0,1.11,2301
"PU=Sutton Place/Turtle Bay North, rush=yes",PU_bor=Manhattan,0.006,1.0,1.11,2394
"DO_bor=Manhattan, PU=Yorkville East",PU_bor=Manhattan,0.014,1.0,1.11,5562
PU=Gramercy,PU_bor=Manhattan,0.0218,1.0,1.11,8693
PU=Yorkville West,PU_bor=Manhattan,0.0211,1.0,1.11,8391
"PU=Clinton East, weekend=yes",PU_bor=Manhattan,0.0105,1.0,1.11,4171
"DO_bor=Manhattan, PU=SoHo",PU_bor=Manhattan,0.007,1.0,1.11,2802
"DO_bor=Manhattan, PU=Upper East Side South",PU_bor=Manhattan,0.0394,1.0,1.11,15705
"DO_bor=Manhattan, PU=Midtown East",PU_bor=Manhattan,0.0308,1.0,1.11,12275
PU=Union Sq,PU_bor=Manhattan,0.0231,1.0,1.11,9205
"PU=Times Sq/Theatre District, weekend=yes",PU_bor=Manhattan,0.0099,1.0,1.11,3929
PU=Greenwich Village North,PU_bor=Manhattan,0.0139,1.0,1.11,5544
